,ID,default_payment_next_month
0,10178,0.4271101116539675
1,5304,0.13600848174125593
2,5187,0.18363343106567304
3,14495,0.3030568516414006
4,20444,0.20718162707567414
5,17667,0.09124434805572021
6,21211,0.39617491159120666
7,7178,0.06978087934208346
8,20783,0.13999510542118257
9,24033,0.3480738108144306
10,754,0.05549907689830516
11,23732,0.3210213996056916
12,6072,0.23258338695405817
13,17662,0.14073778104783483
14,5541,0.4575686276546173
15,22697,0.3875501731039644
16,29905,0.39907726922813797
17,6695,0.42229213034569507
18,12664,0.43943654787081715
19,15392,0.14628886499745616
20,309,0.4423189958898194
21,16129,0.11683956355020209
22,6324,0.3544133518627842
23,23673,0.3328242844780241
24,28889,0.37087495161299416
25,17687,0.3494482451511143
26,27129,0.1021202125372116
27,8487,0.017136550171238617
28,10304,0.2481415657704003
29,14991,0.0015417798607041172
30,8380,0.22443661031333415
31,17401,0.24150169670890448
32,15805,0.2647144574657398
33,17839,0.3231073909458253
34,24324,0.3320992631718726
35,5925,0.006176915437564417
36,11137,0.3754197055666568
37,9991,0.14782911045500607
38,6622,0.3969824674884816
39,17112,0.44887682784538463
40,7694,0.15599434244237953
41,23055,0.12831007920108278
42,19684,0.301448465125783
43,26520,0.3849995133745702
44,8633,0.36457047641247586
45,15602,0.34230365929330225
46,21244,0.0012802938461600852
47,9804,0.14642728044569883
48,24276,0.07748715082780654
49,11723,0.006290579747320432
50,23656,0.13414100403400822
51,9047,0.4249739944539266
52,9246,0.25771336106403175
53,650,0.49307687462335054
54,4330,0.278638033297677
55,27006,0.4024584889034672
56,6766,0.14807025208120558
57,14481,0.38849421816873203
58,18262,0.20639657457112182
59,22076,0.25838370952048173
60,24238,0.35467385524659006
61,12731,0.34312261328089083
62,2226,0.23927872575457138
63,17380,0.44397562474561186
64,22072,0.2791927946588886
65,27390,0.07345335238371807
66,19619,0.049078775915134445
67,12919,0.10180826908174102
68,6537,0.2670995961463507
69,24342,0.26106331136878125
70,772,0.20048738985126643
71,12966,0.26880636961483473
72,18832,0.31485518765215514
73,9347,0.47455386478979034
74,29171,0.418495634350546
75,18604,0.41949189436264117
76,25368,0.27323985079259416
77,14414,0.31495992354096597
78,4515,0.34890180613886135
79,27668,0.3591389004562091
80,20039,0.0003704280653612014
81,28604,0.3598607921227476
82,19283,0.18824660360467757
83,29592,0.24894141805256084
84,5952,0.2132178460176311
85,14746,0.22537020526542453
86,8135,0.39556884689570887
87,936,0.363808359950443
88,15106,0.2198155855937034
89,13717,0.25511869590970204
